,sub,goal,trial_num_within_goal,trial_num,trial,current_state,planning_depth,decision,choice_numeric,control choice,got_to_goal
85,1,1,6,-0.5254237288135594,6,toothbrush,1,2,0,1,1
86,1,1,6,-0.5254237288135594,6,car,1,3,0,1,1
87,1,3,11,-0.5084745762711864,11,start,3,1,0,1,1
88,1,3,11,-0.5084745762711864,11,toothbrush,3,2,0,1,1
89,1,3,11,-0.5084745762711864,11,car,3,3,0,1,1
90,1,2,14,-0.4915254237288136,14,start,2,1,1,0,1
91,1,2,14,-0.4915254237288136,14,toothbrush,2,2,0,1,1
92,1,2,14,-0.4915254237288136,14,backpack,2,3,0,1,1
93,1,1,7,-0.4745762711864407,7,start,1,1,1,0,1
94,1,1,7,-0.4745762711864407,7,toothbrush,1,2,0,1,1
95,1,1,7,-0.4745762711864407,7,backpack,1,3,0,1,1
96,1,1,8,-0.4576271186440678,8,start,1,1,1,0,1
97,1,1,8,-0.4576271186440678,8,toothbrush,1,2,0,1,1
98,1,1,8,-0.4576271186440678,8,backpack,1,3,0,1,1
99,1,1,9,-0.4406779661016949,9,start,1,1,1,0,1
100,1,1,9,-0.4406779661016949,9,toothbrush,1,2,0,1,1
101,1,1,9,-0.4406779661016949,9,car,1,3,0,1,1
102,1,3,12,-0.423728813559322,12,start,3,1,0,1,1
103,1,3,12,-0.423728813559322,12,toothbrush,3,2,0,1,1
104,1,3,12,-0.423728813559322,12,car,3,3,0,1,1
105,1,3,13,-0.4067796610169492,13,start,3,1,0,1,1
106,1,3,13,-0.4067796610169492,13,toothbrush,3,2,0,1,1
107,1,3,13,-0.4067796610169492,13,car,3,3,0,1,1
108,1,1,10,-0.3898305084745763,10,start,1,1,1,0,1
109,1,1,10,-0.3898305084745763,10,toothbrush,1,2,0,1,1
110,1,1,10,-0.3898305084745763,10,car,1,3,0,1,1
111,1,2,15,-0.3728813559322034,15,start,2,1,1,0,1
112,1,2,15,-0.3728813559322034,15,toothbrush,2,2,0,1,1
113,1,2,15,-0.3728813559322034,15,backpack,2,3,0,1,1
114,1,1,11,-0.3559322033898305,11,start,1,1,1,0,1
115,1,1,11,-0.3559322033898305,11,baby,1,2,0,1,1
116,1,1,11,-0.3559322033898305,11,bowtie,1,3,0,1,1
117,1,3,14,-0.3389830508474576,14,start,3,1,0,1,1
118,1,3,14,-0.3389830508474576,14,toothbrush,3,2,0,1,1
119,1,3,14,-0.3389830508474576,14,car,3,3,0,1,1
120,1,1,12,-0.3220338983050847,12,start,1,1,1,0,1
121,1,1,12,-0.3220338983050847,12,baby,1,2,0,1,1
122,1,1,12,-0.3220338983050847,12,backpack,1,3,0,1,1
123,1,3,15,-0.3050847457627119,15,start,3,1,0,1,1
124,1,3,15,-0.3050847457627119,15,toothbrush,3,2,0,1,1
125,1,3,15,-0.3050847457627119,15,car,3,3,0,1,1
126,1,3,16,-0.288135593220339,16,start,3,1,0,1,1
127,1,3,16,-0.288135593220339,16,toothbrush,3,2,0,1,1
128,1,3,16,-0.288135593220339,16,car,3,3,0,1,1
129,1,1,13,-0.2711864406779661,13,start,1,1,1,0,1
130,1,1,13,-0.2711864406779661,13,toothbrush,1,2,0,1,1
131,1,1,13,-0.2711864406779661,13,backpack,1,3,0,1,1
132,1,1,14,-0.2542372881355932,14,start,1,1,1,0,1
133,1,1,14,-0.2542372881355932,14,baby,1,2,1,0,1
134,1,1,14,-0.2542372881355932,14,backpack,1,3,0,1,1
135,1,3,17,-0.2372881355932203,17,start,3,1,0,1,1
136,1,3,17,-0.2372881355932203,17,toothbrush,3,2,0,1,1
137,1,3,17,-0.2372881355932203,17,car,3,3,0,1,1
138,1,1,15,-0.2203389830508474,15,start,1,1,1,0,1
139,1,1,15,-0.2203389830508474,15,toothbrush,1,2,0,1,1
140,1,1,15,-0.2203389830508474,15,backpack,1,3,0,1,1
141,1,3,18,-0.2033898305084746,18,start,3,1,0,1,1
142,1,3,18,-0.2033898305084746,18,toothbrush,3,2,0,1,1
143,1,3,18,-0.2033898305084746,18,car,3,3,0,1,1
144,1,2,16,-0.1864406779661017,16,start,2,1,1,0,1
145,1,2,16,-0.1864406779661017,16,toothbrush,2,2,0,1,1
146,1,2,16,-0.1864406779661017,16,backpack,2,3,0,1,1
147,1,3,19,-0.1694915254237288,19,start,3,1,0,1,1
148,1,3,19,-0.1694915254237288,19,toothbrush,3,2,0,1,1
149,1,3,19,-0.1694915254237288,19,car,3,3,0,1,1
150,1,2,17,-0.1525423728813559,17,start,2,1,1,0,1
151,1,2,17,-0.1525423728813559,17,toothbrush,2,2,0,1,1
152,1,2,17,-0.1525423728813559,17,backpack,2,3,0,1,1
153,1,3,20,-0.135593220338983,20,start,3,1,0,1,1
154,1,3,20,-0.135593220338983,20,toothbrush,3,2,0,1,1
155,1,3,20,-0.135593220338983,20,car,3,3,0,1,1
156,1,1,16,-0.1186440677966101,16,start,1,1,1,0,1
157,1,1,16,-0.1186440677966101,16,toothbrush,1,2,1,0,1
158,1,1,16,-0.1186440677966101,16,car,1,3,0,1,1
159,1,1,17,-0.1016949152542373,17,start,1,1,1,0,1
160,1,1,17,-0.1016949152542373,17,toothbrush,1,2,1,0,1
161,1,1,17,-0.1016949152542373,17,backpack,1,3,0,1,1
162,1,1,18,-0.0847457627118644,18,start,1,1,1,0,1
163,1,1,18,-0.0847457627118644,18,toothbrush,1,2,1,0,1
164,1,1,18,-0.0847457627118644,18,backpack,1,3,0,1,1
165,1,2,18,-0.0677966101694915,18,start,2,1,1,0,1
166,1,2,18,-0.0677966101694915,18,toothbrush,2,2,0,1,1
167,1,2,18,-0.0677966101694915,18,backpack,2,3,0,1,1
168,1,1,19,-0.0508474576271186,19,start,1,1,1,0,1
169,1,1,19,-0.0508474576271186,19,baby,1,2,1,0,1
170,1,1,19,-0.0508474576271186,19,backpack,1,3,0,1,1
171,1,1,20,-0.0338983050847457,20,start,1,1,1,0,1
172,1,1,20,-0.0338983050847457,20,baby,1,2,1,0,1
173,1,1,20,-0.0338983050847457,20,backpack,1,3,0,1,1
174,1,2,19,-0.0169491525423728,19,start,2,1,1,0,1
175,1,2,19,-0.0169491525423728,19,toothbrush,2,2,0,1,1
176,1,2,19,-0.0169491525423728,19,backpack,2,3,0,1,1
177,1,2,20,0.0,20,start,2,1,1,0,1
178,1,2,20,0.0,20,toothbrush,2,2,0,1,1
179,1,2,20,0.0,20,backpack,2,3,0,1,1
180,2,2,1,-1.0,1,start,2,1,0,1,1
181,2,2,1,-1.0,1,toothbrush,2,2,0,1,1
182,2,2,1,-1.0,1,backpack,2,3,0,1,1
183,2,1,1,-0.9830508474576272,1,start,1,1,0,1,1
184,2,1,1,-0.9830508474576272,1,baby,1,2,0,1,1
185,2,1,1,-0.9830508474576272,1,bowtie,1,3,0,1,1
186,2,2,2,-0.9661016949152542,2,start,2,1,0,1,1
187,2,2,2,-0.9661016949152542,2,baby,2,2,0,1,1
188,2,2,2,-0.9661016949152542,2,backpack,2,3,0,1,1
189,2,3,1,-0.9491525423728814,1,start,3,1,0,1,0
190,2,3,1,-0.9491525423728814,1,toothbrush,3,2,0,1,0
191,2,3,1,-0.9491525423728814,1,backpack,3,3,0,1,0
192,2,1,2,-0.9322033898305084,2,start,1,1,0,1,1
193,2,1,2,-0.9322033898305084,2,baby,1,2,0,1,1
194,2,1,2,-0.9322033898305084,2,backpack,1,3,0,1,1
195,2,3,2,-0.9152542372881356,2,start,3,1,0,1,1
196,2,3,2,-0.9152542372881356,2,baby,3,2,0,1,1
197,2,3,2,-0.9152542372881356,2,bowtie,3,3,0,1,1
198,2,1,3,-0.8983050847457628,3,start,1,1,0,1,1
199,2,1,3,-0.8983050847457628,3,baby,1,2,0,1,1
200,2,1,3,-0.8983050847457628,3,backpack,1,3,0,1,1
201,2,2,3,-0.8813559322033898,3,start,2,1,0,1,0
202,2,2,3,-0.8813559322033898,3,baby,2,2,0,1,0
203,2,2,3,-0.8813559322033898,3,bowtie,2,3,0,1,0
204,2,1,4,-0.864406779661017,4,start,1,1,0,1,1
205,2,1,4,-0.864406779661017,4,baby,1,2,0,1,1
206,2,1,4,-0.864406779661017,4,backpack,1,3,0,1,1
207,2,1,5,-0.847457627118644,5,start,1,1,0,1,1
208,2,1,5,-0.847457627118644,5,baby,1,2,0,1,1
209,2,1,5,-0.847457627118644,5,backpack,1,3,0,1,1
210,2,3,3,-0.8305084745762712,3,start,3,1,0,1,0
211,2,3,3,-0.8305084745762712,3,toothbrush,3,2,0,1,0
212,2,3,3,-0.8305084745762712,3,backpack,3,3,0,1,0
213,2,2,4,-0.8135593220338984,4,start,2,1,0,1,1
214,2,2,4,-0.8135593220338984,4,baby,2,2,0,1,1
215,2,2,4,-0.8135593220338984,4,backpack,2,3,0,1,1
216,2,3,4,-0.7966101694915254,4,start,3,1,0,1,1
217,2,3,4,-0.7966101694915254,4,baby,3,2,0,1,1
218,2,3,4,-0.7966101694915254,4,bowtie,3,3,0,1,1
219,2,3,5,-0.7796610169491526,5,start,3,1,0,1,0
220,2,3,5,-0.7796610169491526,5,toothbrush,3,2,0,1,0
221,2,3,5,-0.7796610169491526,5,backpack,3,3,0,1,0
222,2,3,6,-0.7627118644067796,6,start,3,1,0,1,1
223,2,3,6,-0.7627118644067796,6,toothbrush,3,2,0,1,1
224,2,3,6,-0.7627118644067796,6,car,3,3,0,1,1
225,2,2,5,-0.7457627118644068,5,start,2,1,0,1,0
226,2,2,5,-0.7457627118644068,5,toothbrush,2,2,0,1,0
227,2,2,5,-0.7457627118644068,5,car,2,3,0,1,0
228,2,2,6,-0.7288135593220338,6,start,2,1,0,1,0
229,2,2,6,-0.7288135593220338,6,baby,2,2,0,1,0
230,2,2,6,-0.7288135593220338,6,bowtie,2,3,0,1,0
231,2,1,6,-0.711864406779661,6,start,1,1,0,1,1
232,2,1,6,-0.711864406779661,6,baby,1,2,0,1,1
233,2,1,6,-0.711864406779661,6,backpack,1,3,0,1,1
234,2,3,7,-0.6949152542372882,7,start,3,1,0,1,1
235,2,3,7,-0.6949152542372882,7,toothbrush,3,2,0,1,1
236,2,3,7,-0.6949152542372882,7,car,3,3,0,1,1
237,2,3,8,-0.6779661016949152,8,start,3,1,0,1,1
238,2,3,8,-0.6779661016949152,8,toothbrush,3,2,0,1,1
239,2,3,8,-0.6779661016949152,8,car,3,3,0,1,1
240,2,1,7,-0.6610169491525424,7,start,1,1,0,1,1
241,2,1,7,-0.6610169491525424,7,baby,1,2,0,1,1
242,2,1,7,-0.6610169491525424,7,backpack,1,3,0,1,1
243,2,2,7,-0.6440677966101694,7,start,2,1,1,0,1
244,2,2,7,-0.6440677966101694,7,baby,2,2,0,1,1
245,2,2,7,-0.6440677966101694,7,backpack,2,3,0,1,1
246,2,3,9,-0.6271186440677966,9,start,3,1,0,1,1
247,2,3,9,-0.6271186440677966,9,toothbrush,3,2,0,1,1
248,2,3,9,-0.6271186440677966,9,car,3,3,0,1,1
249,2,3,10,-0.6101694915254238,10,start,3,1,0,1,1
250,2,3,10,-0.6101694915254238,10,toothbrush,3,2,0,1,1
251,2,3,10,-0.6101694915254238,10,car,3,3,0,1,1
252,2,1,8,-0.5932203389830508,8,start,1,1,0,1,1
253,2,1,8,-0.5932203389830508,8,baby,1,2,0,1,1
254,2,1,8,-0.5932203389830508,8,backpack,1,3,0,1,1
255,2,2,8,-0.576271186440678,8,start,2,1,0,1,1
256,2,2,8,-0.576271186440678,8,toothbrush,2,2,0,1,1
257,2,2,8,-0.576271186440678,8,backpack,2,3,0,1,1
258,2,3,11,-0.559322033898305,11,start,3,1,0,1,1
259,2,3,11,-0.559322033898305,11,toothbrush,3,2,0,1,1
260,2,3,11,-0.559322033898305,11,car,3,3,0,1,1
261,2,2,9,-0.5423728813559322,9,start,2,1,0,1,0
262,2,2,9,-0.5423728813559322,9,baby,2,2,0,1,0
263,2,2,9,-0.5423728813559322,9,bowtie,2,3,0,1,0
264,2,1,9,-0.5254237288135594,9,start,1,1,0,1,1
265,2,1,9,-0.5254237288135594,9,baby,1,2,0,1,1
266,2,1,9,-0.5254237288135594,9,backpack,1,3,0,1,1
267,2,1,10,-0.5084745762711864,10,start,1,1,0,1,1
268,2,1,10,-0.5084745762711864,10,baby,1,2,0,1,1
269,2,1,10,-0.5084745762711864,10,backpack,1,3,0,1,1
270,2,2,10,-0.4915254237288136,10,start,2,1,0,1,1
271,2,2,10,-0.4915254237288136,10,baby,2,2,0,1,1
272,2,2,10,-0.4915254237288136,10,backpack,2,3,0,1,1
273,2,1,11,-0.4745762711864407,11,start,1,1,0,1,1
274,2,1,11,-0.4745762711864407,11,baby,1,2,0,1,1
275,2,1,11,-0.4745762711864407,11,backpack,1,3,0,1,1
276,2,2,11,-0.4576271186440678,11,start,2,1,0,1,1
277,2,2,11,-0.4576271186440678,11,baby,2,2,0,1,1
278,2,2,11,-0.4576271186440678,11,backpack,2,3,0,1,1
279,2,2,12,-0.4406779661016949,12,start,2,1,0,1,1
280,2,2,12,-0.4406779661016949,12,baby,2,2,0,1,1
281,2,2,12,-0.4406779661016949,12,backpack,2,3,0,1,1
282,2,2,13,-0.423728813559322,13,start,2,1,0,1,1
283,2,2,13,-0.423728813559322,13,baby,2,2,0,1,1
284,2,2,13,-0.423728813559322,13,backpack,2,3,0,1,1
285,2,2,14,-0.4067796610169492,14,start,2,1,0,1,1
286,2,2,14,-0.4067796610169492,14,baby,2,2,0,1,1
287,2,2,14,-0.4067796610169492,14,backpack,2,3,0,1,1
288,2,3,12,-0.3898305084745763,12,start,3,1,0,1,1
289,2,3,12,-0.3898305084745763,12,toothbrush,3,2,0,1,1
290,2,3,12,-0.3898305084745763,12,car,3,3,0,1,1
291,2,2,15,-0.3728813559322034,15,start,2,1,0,1,1
292,2,2,15,-0.3728813559322034,15,baby,2,2,0,1,1
293,2,2,15,-0.3728813559322034,15,backpack,2,3,0,1,1
294,2,2,16,-0.3559322033898305,16,start,2,1,0,1,1
295,2,2,16,-0.3559322033898305,16,baby,2,2,0,1,1
296,2,2,16,-0.3559322033898305,16,backpack,2,3,0,1,1
297,2,1,12,-0.3389830508474576,12,start,1,1,1,0,1
298,2,1,12,-0.3389830508474576,12,baby,1,2,0,1,1
299,2,1,12,-0.3389830508474576,12,bowtie,1,3,0,1,1
300,2,3,13,-0.3220338983050847,13,start,3,1,0,1,1
301,2,3,13,-0.3220338983050847,13,toothbrush,3,2,0,1,1
302,2,3,13,-0.3220338983050847,13,car,3,3,0,1,1
303,2,1,13,-0.3050847457627119,13,start,1,1,1,0,1
304,2,1,13,-0.3050847457627119,13,baby,1,2,0,1,1
305,2,1,13,-0.3050847457627119,13,backpack,1,3,0,1,1
306,2,1,14,-0.288135593220339,14,start,1,1,1,0,1
307,2,1,14,-0.288135593220339,14,baby,1,2,0,1,1
308,2,1,14,-0.288135593220339,14,backpack,1,3,0,1,1
309,2,3,14,-0.2711864406779661,14,start,3,1,0,1,1
310,2,3,14,-0.2711864406779661,14,toothbrush,3,2,0,1,1
311,2,3,14,-0.2711864406779661,14,car,3,3,0,1,1
312,2,2,17,-0.2542372881355932,17,start,2,1,0,1,1
313,2,2,17,-0.2542372881355932,17,baby,2,2,0,1,1
314,2,2,17,-0.2542372881355932,17,backpack,2,3,0,1,1
315,2,1,15,-0.2372881355932203,15,start,1,1,1,0,1
316,2,1,15,-0.2372881355932203,15,baby,1,2,1,0,1
317,2,1,15,-0.2372881355932203,15,backpack,1,3,0,1,1
318,2,2,18,-0.2203389830508474,18,start,2,1,0,1,1
319,2,2,18,-0.2203389830508474,18,baby,2,2,0,1,1
320,2,2,18,-0.2203389830508474,18,backpack,2,3,0,1,1
321,2,1,16,-0.2033898305084746,16,start,1,1,1,0,1
322,2,1,16,-0.2033898305084746,16,baby,1,2,1,0,1
323,2,1,16,-0.2033898305084746,16,backpack,1,3,0,1,1
324,2,2,19,-0.1864406779661017,19,start,2,1,0,1,1
325,2,2,19,-0.1864406779661017,19,baby,2,2,0,1,1
326,2,2,19,-0.1864406779661017,19,backpack,2,3,0,1,1
327,2,2,20,-0.1694915254237288,20,start,2,1,0,1,1
328,2,2,20,-0.1694915254237288,20,baby,2,2,0,1,1
329,2,2,20,-0.1694915254237288,20,backpack,2,3,0,1,1
330,2,3,15,-0.1525423728813559,15,start,3,1,0,1,1
331,2,3,15,-0.1525423728813559,15,toothbrush,3,2,0,1,1
332,2,3,15,-0.1525423728813559,15,car,3,3,0,1,1
333,2,1,17,-0.135593220338983,17,start,1,1,1,0,1
334,2,1,17,-0.135593220338983,17,baby,1,2,1,0,1
335,2,1,17,-0.135593220338983,17,backpack,1,3,0,1,1
336,2,1,18,-0.1186440677966101,18,start,1,1,1,0,1
337,2,1,18,-0.1186440677966101,18,baby,1,2,1,0,1
338,2,1,18,-0.1186440677966101,18,backpack,1,3,0,1,1
339,2,1,19,-0.1016949152542373,19,start,1,1,1,0,1
340,2,1,19,-0.1016949152542373,19,baby,1,2,1,0,1
341,2,1,19,-0.1016949152542373,19,backpack,1,3,0,1,1
342,2,3,16,-0.0847457627118644,16,start,3,1,0,1,0
343,2,3,16,-0.0847457627118644,16,baby,3,2,0,1,0
344,2,3,16,-0.0847457627118644,16,backpack,3,3,0,1,0
345,2,3,17,-0.0677966101694915,17,start,3,1,0,1,1
346,2,3,17,-0.0677966101694915,17,toothbrush,3,2,0,1,1
347,2,3,17,-0.0677966101694915,17,car,3,3,0,1,1
348,2,3,18,-0.0508474576271186,18,start,3,1,0,1,1
349,2,3,18,-0.0508474576271186,18,toothbrush,3,2,0,1,1
350,2,3,18,-0.0508474576271186,18,car,3,3,0,1,1
351,2,3,19,-0.0338983050847457,19,start,3,1,0,1,1
352,2,3,19,-0.0338983050847457,19,toothbrush,3,2,0,1,1
353,2,3,19,-0.0338983050847457,19,car,3,3,0,1,1
354,2,1,20,-0.0169491525423728,20,start,1,1,0,1,1
355,2,1,20,-0.0169491525423728,20,baby,1,2,0,1,1
356,2,1,20,-0.0169491525423728,20,backpack,1,3,0,1,1
357,2,3,20,0.0,20,start,3,1,0,1,1
358,2,3,20,0.0,20,toothbrush,3,2,0,1,1
359,2,3,20,0.0,20,car,3,3,0,1,1
360,3,1,1,-1.0,1,start,1,1,0,1,1
361,3,1,1,-1.0,1,toothbrush,1,2,0,1,1
362,3,1,1,-1.0,1,car,1,3,0,1,1
363,3,1,2,-0.9830508474576272,2,start,1,1,0,1,1
364,3,1,2,-0.9830508474576272,2,toothbrush,1,2,0,1,1
365,3,1,2,-0.9830508474576272,2,car,1,3,0,1,1
366,3,2,1,-0.9661016949152542,1,start,2,1,0,1,1
367,3,2,1,-0.9661016949152542,1,toothbrush,2,2,0,1,1
368,3,2,1,-0.9661016949152542,1,backpack,2,3,0,1,1
369,3,3,1,-0.9491525423728814,1,start,3,1,0,1,0
370,3,3,1,-0.9491525423728814,1,baby,3,2,0,1,0
371,3,3,1,-0.9491525423728814,1,backpack,3,3,0,1,0
372,3,2,2,-0.9322033898305084,2,start,2,1,0,1,1
373,3,2,2,-0.9322033898305084,2,toothbrush,2,2,0,1,1
374,3,2,2,-0.9322033898305084,2,backpack,2,3,0,1,1
375,3,1,3,-0.9152542372881356,3,start,1,1,0,1,1
376,3,1,3,-0.9152542372881356,3,toothbrush,1,2,0,1,1
377,3,1,3,-0.9152542372881356,3,backpack,1,3,0,1,1
378,3,2,3,-0.8983050847457628,3,start,2,1,0,1,1
379,3,2,3,-0.8983050847457628,3,toothbrush,2,2,0,1,1
380,3,2,3,-0.8983050847457628,3,backpack,2,3,0,1,1
381,3,2,4,-0.8813559322033898,4,start,2,1,0,1,1
382,3,2,4,-0.8813559322033898,4,toothbrush,2,2,0,1,1
383,3,2,4,-0.8813559322033898,4,backpack,2,3,0,1,1
384,3,2,5,-0.864406779661017,5,start,2,1,0,1,1
385,3,2,5,-0.864406779661017,5,toothbrush,2,2,0,1,1
386,3,2,5,-0.864406779661017,5,backpack,2,3,0,1,1
387,3,3,2,-0.847457627118644,2,start,3,1,0,1,0
388,3,3,2,-0.847457627118644,2,baby,3,2,0,1,0
389,3,3,2,-0.847457627118644,2,backpack,3,3,0,1,0
390,3,2,6,-0.8305084745762712,6,start,2,1,0,1,1
391,3,2,6,-0.8305084745762712,6,baby,2,2,0,1,1
392,3,2,6,-0.8305084745762712,6,backpack,2,3,0,1,1
393,3,3,3,-0.8135593220338984,3,start,3,1,0,1,1
394,3,3,3,-0.8135593220338984,3,toothbrush,3,2,0,1,1
395,3,3,3,-0.8135593220338984,3,car,3,3,0,1,1
396,3,2,7,-0.7966101694915254,7,start,2,1,0,1,0
397,3,2,7,-0.7966101694915254,7,baby,2,2,0,1,0
398,3,2,7,-0.7966101694915254,7,bowtie,2,3,0,1,0
399,3,2,8,-0.7796610169491526,8,start,2,1,0,1,1
400,3,2,8,-0.7796610169491526,8,toothbrush,2,2,0,1,1
401,3,2,8,-0.7796610169491526,8,backpack,2,3,0,1,1
402,3,1,4,-0.7627118644067796,4,start,1,1,0,1,1
403,3,1,4,-0.7627118644067796,4,toothbrush,1,2,0,1,1
404,3,1,4,-0.7627118644067796,4,car,1,3,0,1,1
405,3,3,4,-0.7457627118644068,4,start,3,1,0,1,1
406,3,3,4,-0.7457627118644068,4,toothbrush,3,2,0,1,1
407,3,3,4,-0.7457627118644068,4,car,3,3,0,1,1
408,3,1,5,-0.7288135593220338,5,start,1,1,0,1,1
409,3,1,5,-0.7288135593220338,5,toothbrush,1,2,0,1,1
410,3,1,5,-0.7288135593220338,5,backpack,1,3,0,1,1
411,3,1,6,-0.711864406779661,6,start,1,1,0,1,1
412,3,1,6,-0.711864406779661,6,toothbrush,1,2,0,1,1
413,3,1,6,-0.711864406779661,6,car,1,3,0,1,1
414,3,1,7,-0.6949152542372882,7,start,1,1,0,1,1
415,3,1,7,-0.6949152542372882,7,toothbrush,1,2,0,1,1
416,3,1,7,-0.6949152542372882,7,car,1,3,0,1,1
417,3,1,8,-0.6779661016949152,8,start,1,1,0,1,1
418,3,1,8,-0.6779661016949152,8,toothbrush,1,2,0,1,1
